iter	Logloss
0	0.666649704
1	0.6411123657
2	0.6184634399
3	0.5946303558
4	0.5719491959
5	0.5509564972
6	0.5312734222
7	0.5135764694
8	0.496403389
9	0.4775274658
10	0.4616996765
11	0.4454560852
12	0.4283672333
13	0.4136222839
14	0.3972976303
15	0.3827616882
16	0.3698425293
17	0.3565609741
18	0.3433139038
19	0.3320262909
20	0.3205626678
21	0.30986063
22	0.299589386
23	0.2891219711
24	0.2799068069
25	0.2706197357
26	0.2605841255
27	0.2509696198
28	0.2412961006
29	0.233589859
30	0.2266812515
31	0.2195175171
32	0.211980381
33	0.2045672226
34	0.19855196
35	0.1927225304
36	0.1865884209
37	0.1804707527
38	0.1746100426
39	0.1692309952
40	0.1640045166
41	0.1586425591
42	0.153385334
43	0.1485248947
44	0.1436918259
45	0.1397939682
46	0.1357076454
47	0.1315278053
48	0.1271439743
49	0.1237048435
50	0.1200078583
51	0.1166982937
52	0.1131741524
53	0.109522419
54	0.1062273598
55	0.1030023575
56	0.1001042366
57	0.09732990265
58	0.09430196762
59	0.0915131855
60	0.08879032135
61	0.08621805191
62	0.08373222351
63	0.0812877655
64	0.07882627964
65	0.07658497334
66	0.07477417469
67	0.07315319061
68	0.07141162872
69	0.06924659729
70	0.06741912365
71	0.06564917564
72	0.06419415474
73	0.06269401073
74	0.06092482567
75	0.05959008217
76	0.05794807434
77	0.05650823593
78	0.05515546799
79	0.05402330399
80	0.05263432503
81	0.05138885975
82	0.05022737026
83	0.04906280518
84	0.04795447826
85	0.04692508221
86	0.04566981792
87	0.04452568054
88	0.0437342453
89	0.04271603584
90	0.04167518139
91	0.04080848217
92	0.04007787704
93	0.03906160355
94	0.03811034918
95	0.03731667995
96	0.03657046556
97	0.03567674637
98	0.03482439995
99	0.03404784679
100	0.03322754145
101	0.03256244659
102	0.03200014114
103	0.03136695147
104	0.03082250357
105	0.0303017211
106	0.02964718342
107	0.02895999432
108	0.02846666813
109	0.02785919666
110	0.02725217819
111	0.02667480469
112	0.02607609987
113	0.02547764063
114	0.02489772558
